Customer ID,Country
13085,United Kingdom
13078,United Kingdom
15362,United Kingdom
18102,United Kingdom
12682,France
18087,United Kingdom
13635,United Kingdom
14110,United Kingdom
12636,USA
17519,United Kingdom
13758,United Kingdom
12362,Belgium
15413,United Kingdom
16321,Australia
17592,United Kingdom
16167,United Kingdom
17865,United Kingdom
0,United Kingdom
13767,United Kingdom
13293,United Kingdom
17238,United Kingdom
16011,United Kingdom
13916,United Kingdom
15712,United Kingdom
15311,United Kingdom
16329,United Kingdom
15461,United Kingdom
17700,United Kingdom
14911,EIRE
15998,United Kingdom
12931,United Kingdom
15614,United Kingdom
12533,Germany
16128,United Kingdom
16714,United Kingdom
17984,United Kingdom
14748,United Kingdom
14871,United Kingdom
13394,United Kingdom
12615,France
15299,United Kingdom
16393,United Kingdom
14040,United Kingdom
15796,United Kingdom
12913,United Kingdom
15091,United Kingdom
15061,United Kingdom
14292,United Kingdom
14341,United Kingdom
17804,United Kingdom
14156,EIRE
13599,United Kingdom
13768,United Kingdom
17641,United Kingdom
17063,United Kingdom
13545,United Kingdom
16955,United Kingdom
15719,United Kingdom
12490,France
15793,United Kingdom
17056,United Kingdom
13526,United Kingdom
14654,United Kingdom
17998,United Kingdom
17742,United Kingdom
15326,United Kingdom
14478,United Kingdom
15005,United Kingdom
15967,United Kingdom
17611,United Kingdom
15051,United Kingdom
13097,United Kingdom
13590,United Kingdom
14030,United Kingdom
15984,United Kingdom
17091,United Kingdom
16887,United Kingdom
12921,United Kingdom
14621,United Kingdom
14543,United Kingdom
15945,United Kingdom
18037,United Kingdom
15662,United Kingdom
15380,United Kingdom
16422,United Kingdom
13711,United Kingdom
16150,United Kingdom
13110,United Kingdom
12836,United Kingdom
18287,United Kingdom
15254,United Kingdom
16620,United Kingdom
12758,Portugal
14558,United Kingdom
17961,United Kingdom
17485,United Kingdom
15601,United Kingdom
13585,United Kingdom
13442,United Kingdom
13381,United Kingdom
